jar_path,metadata,mod_id,version,name,has_assets_academy,has_data_academy,has_safari_ticket_base
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-sere-jvm-1.9.0-e9eabd782420fd6.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-serialization-core-jvm,1.9.0,kotlinx-serialization-core-jvm,False,False,False
.fabric/processedMods/org_quiltmc_parsers_gson-0.2.1-dca73e94c7c97f1f.jar,fabric.mod.json,org_quiltmc_parsers_gson,0.2.1,gson,False,False,False
.fabric/processedMods/org_quiltmc_parsers_json-0.2.1-f4450bb516755a53.jar,fabric.mod.json,org_quiltmc_parsers_json,0.2.1,json,False,False,False
.fabric/processedMods/org_reflections_reflections-0.10.2-1242e69f5be78cc9.jar,fabric.mod.json,org_reflections_reflections,0.10.2,reflections,False,False,False
.fabric/processedMods/org_xerial_sqlite-jdbc-3.45.1.0-8fc8a6658c0503eb.jar,fabric.mod.json,org_xerial_sqlite-jdbc,3.45.1.0,sqlite-jdbc,False,False,False
.fabric/processedMods/org_yaml_snakeyaml-2.2-3e7e022439444157.jar,fabric.mod.json,org_yaml_snakeyaml,2.2,snakeyaml,False,False,False
.fabric/processedMods/packet_tweaker-0.5.5+1.21-adc27117a3ef957a.jar,fabric.mod.json,packet_tweaker,0.5.5+1.21,Packet Tweaker,False,False,False
.fabric/processedMods/player_roles_api-1.6.13-fc46117cd2ac75c3.jar,fabric.mod.json,player_roles_api,1.6.13,Player Roles API,False,False,False
.fabric/processedMods/playeranimator-2.0.1+1.21.1-92850e3c52e2ed6d.jar,fabric.mod.json,playeranimator,2.0.1+1.21.1,Player Animator,False,False,False
.fabric/processedMods/polymer-autohost-0.9.18+1.21.1-70c45f6c983039a7.jar,fabric.mod.json,polymer-autohost,0.9.18+1.21.1,Polymer (Auto Host),False,False,False
.fabric/processedMods/polymer-blocks-0.9.18+1.21.1-258011a6677e643c.jar,fabric.mod.json,polymer-blocks,0.9.18+1.21.1,Polymer (Textured Blocks),False,False,False
.fabric/processedMods/polymer-common-0.9.18+1.21.1-abca588ea9fb2511.jar,fabric.mod.json,polymer-common,0.9.18+1.21.1,Polymer (Common),False,False,False
.fabric/processedMods/polymer-core-0.9.18+1.21.1-659002abf83d0556.jar,fabric.mod.json,polymer-core,0.9.18+1.21.1,Polymer (Core),False,False,False
.fabric/processedMods/polymer-networking-0.9.18+1.21.1-32bd4df2e2e24b86.jar,fabric.mod.json,polymer-networking,0.9.18+1.21.1,Polymer (Networking),False,False,False
.fabric/processedMods/polymer-registry-sync-manipulato9.18+1.21.1-f9c276b2e2fbe698.jar,fabric.mod.json,polymer-registry-sync-manipulator,0.9.18+1.21.1,Polymer (Registry Sync Manipulator),False,False,False
.fabric/processedMods/polymer-resource-pack-0.9.18+1.21.1-b0f4de8b1b867811.jar,fabric.mod.json,polymer-resource-pack,0.9.18+1.21.1,Polymer (Resource Pack),False,False,False
